,Sëmundje,Simptomë_1,Simptomë_2,Simptomë_3,Simptomë_4
53,Sëmundja e ulçerës peptike,të_vjella,humbja_e_oreksit,dhimbje_barku,kalimiigazrave
54,Sëmundja e ulçerës peptike,të_vjella,dispepsi,dhimbje_barku,kalimigazrave
55,Sëmundja e ulçerës peptike,të_vjella,dispepsi,humbja_e_oreksit,kalimiigazrave
56,Sëmundja e ulçerës peptike,të_vjella,dispepsi,humbja_e_oreksit,dhimbje_barku
57,Sëmundja e ulçerës peptike,të_vjella,dispepsi,humbja_e_oreksit,dhimbje_barku
58,Sëmundja e ulçerës peptike,të_vjella,dispepsi,humbja_e_oreksit,dhimbje_barku
59,Sëmundja e ulçerës peptike,të_vjella,dispepsi,humbja_e_oreksit,dhimbje_barku
60,SIDA,dobësim_muskujsh,arna_në_fyt,temperaturëtëlartë,kontakte_ekstra-martesore
61,SIDA,njollanëfyt,temperaturë_e_lartë,kontaktejashtëmartesore,
62,SIDA,dobësim_muskujsh,temperaturëtëlartë,kontakte_jashtëmartesore,
63,SIDA,humbje_muskujsh,arna_në_fyt,kontakte_ekstra-martesore,
64,SIDA,humbje_muskujsh,arna_në_fyt,temperaturëtëlartë,
65,SIDA,dobësim_muskujsh,arna_në_fyt,temperaturë_e_lartë,kontakte_ekstra-martesore
66,SIDA,dobësim_muskujsh,arna_në_fyt,temperaturëtëlartë,kontakte_ekstra-martesore
67,SIDA,njollanëfyt,temperaturë_e_lartë,kontaktejashtëmartesore,
68,SIDA,dobësim_muskujsh,temperaturëtëlartë,kontakte_jashtëmartesore,
69,SIDA,lodhjemuskulore,njollanëfyt,temperaturëtëlartë,
70,Diabeti,lodhje,humbje_peshe,shqetësim,letargji
71,Diabeti,lodhje,humbje_peshe,shqetësim,letargji
72,Diabeti,humbje_peshe,shqetësim,letargji,Niveli_i_parregullt_i_sheqerit
73,Diabeti,lodhje,shqetësim,letargji,Niveli_i_parregullt_i_sheqerit
74,Diabeti,lodhje,humbje_peshe,letargji,Niveli_i_parregullt_i_sheqerit
75,Diabeti,lodhje,humbje_peshe,shqetësim,Niveli_i_parregullt_i_sheqerit
76,Diabeti,lodhje,humbje_peshe,shqetësim,letargji
77,Diabeti,lodhje,humbje_peshe,shqetësim,letargji
78,Diabeti,lodhje,humbje_peshe,shqetësim,letargji
79,Diabeti,lodhje,humbje_peshe,shqetësim,letargji
80,Gastroenteriti,të_vjella,sytë_mbytur,dehidratim,diarre
81,Gastroenteriti,të_vjella,sytë_mbytur,dehidratim,diarre
82,Gastroenteriti,sytë_mbytur,dehidratim,diarre,
83,Gastroenteriti,të_vjella,dehidratim,diarre,
84,Gastroenteriti,të_vjella,sytë_mbytur,diarre,
85,Gastroenteriti,të_vjella,sytë_mbytur,dehidratim,
86,Gastroenteriti,të_vjella,sytë_mbytur,dehidratim,diarre
87,Gastroenteriti,sytë_mbytur,dehidratim,diarre,
88,Gastroenteriti,të_vjella,dehidratim,diarre,
89,Gastroenteriti,të_vjella,sytë_mbytur,diarre,
90,Astma bronkiale,lodhje,kollë,temperaturëtëlartë,gulçim
91,Astma bronkiale,kollë,temperaturëtëlartë,gulçim,histori_familje
92,Astma bronkiale,lodhje,temperaturëtëlartë,gulçim,histori_familje
93,Astma bronkiale,lodhje,kollë,gulçim,histori_familje
94,Astma bronkiale,lodhje,kollë,temperaturëtëlartë,histori_familje
95,Astma bronkiale,lodhje,kollë,temperaturëtëlartë,gulçim
96,Astma bronkiale,lodhje,kollë,temperaturëtëlartë,gulçim
97,Astma bronkiale,lodhje,kollë,temperaturëtëlartë,gulçim
98,Astma bronkiale,kollë,temperaturëtëlartë,gulçim,histori_familje
99,Astma bronkiale,lodhje,temperaturëtëlartë,gulçim,histori_familje
100,Hipertensioni,dhimbje_koke,dhimbje_gjoksi,marramendje,humbjeekuilibri
101,Hipertensioni,dhimbje_gjoksi,marramendje,humbjeeekuilibrit,mungesë_përqendrimi
102,Hipertensioni,dhimbje_koke,marramendje,humbje_ekuilibri,mungesë_përqendrimi
103,Hipertensioni,dhimbje_koke,dhimbje_gjoksi,humbjeekuilibri,mungesë_përqendrimi
104,Hipertensioni,dhimbje_koke,dhimbje_gjoksi,marramendje,mungesë_përqendrimi
105,Hipertensioni,dhimbje_koke,dhimbje_gjoksi,marramendje,humbjeekuilibri
106,Hipertensioni,dhimbje_koke,dhimbje_gjoksi,marramendje,humbjeekuilibri
107,Hipertensioni,dhimbje_gjoksi,marramendje,humbjeekuilibri,mungesë_përqendrimi
108,Hipertensioni,dhimbje_koke,marramendje,humbje_ekuilibri,mungesë_përqendrimi
109,Hipertensioni,dhimbje_koke,dhimbje_gjoksi,humbjeekuilibri,mungesë_përqendrimi
110,Migrena,aciditeti,dispepsi,dhimbje_koke,vizion_turbullt_dhe_i_shtrembëruar
111,Migrena,dispepsi,dhimbje_koke,shikimtëpaqartëdhetështrembëruar,uritëtepruar
112,Migrena,aciditeti,dhimbje_koke,shikimiturbulltdheishtrembëruar,urinë_e_tepruar
113,Migrena,aciditeti,dispepsi,shikimiturbulltdheishtrembëruar,urinë_e_tepruar
114,Migrena,aciditeti,dispepsi,dhimbje_koke,urinë_e_tepruar
115,Migrena,aciditeti,dispepsi,dhimbje_koke,shikimtëpaqartëdhetështrembëruar
116,Migrena,aciditeti,dispepsi,dhimbje_koke,shikimtëpaqartëdhetështrembëruar
117,Migrena,aciditeti,dispepsi,dhimbje_koke,vizion_turbullt_dhe_i_shtrembëruar
118,Migrena,aciditeti,dispepsi,dhimbje_koke,shikimiturbulltdheishtrembëruar
119,Migrena,aciditeti,dispepsi,dhimbje_koke,shikimiturbulltdheishtrembëruar
120,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dobësi_në_gjymtyrë,dhimbjeqafe,marramendje
121,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dobësi_në_gjymtyrë,dhimbjeqafe,marramendje
122,Spondiloza e qafës së mitrës,dobësi_në_gjymtyrë,dhimbjeqafe,marramendje,humbjeekuilibri
123,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dhimbjeqafe,marramendje,humbjeekuilibri
124,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dobësi_në_gjymtyrë,marramendje,humbjeekuilibri
125,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dobësi_në_gjymtyrë,dhimbjeqafe,humbjeekuilibri
126,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dobësi_në_gjymtyrë,dhimbjeqafe,marramendje
127,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dobësi_në_gjymtyrë,dhimbjeqafe,marramendje
128,Spondiloza e qafës së mitrës,dobësi_në_gjymtyrë,dhimbjeqafe,marramendje,humbjeekuilibri
129,Spondiloza e qafës së mitrës,Dhimbja_e_shpinës,dhimbjeqafe,marramendje,humbjeeekuilibrit
130,Paraliza (hemorragjia e trurit),të_vjella,dhimbje_koke,dobësienjërësanëtëtrupit,ndjeshmëriaendryshuar
131,Paraliza (hemorragjia e trurit),të_vjella,dhimbje_koke,dobësie_një_anëssëtrupit,ndjeshmëriendryshuar
132,Paraliza (hemorragjia e trurit),dhimbje_koke,dobësitënjërësanëtëtrupit,ndjeshmëritëndryshuar,
133,Paraliza (hemorragjia e trurit),të_vjella,dobësitënjërësanëtëtrupit,ndjeshmëritëndryshuar,
134,Paraliza (hemorragjia e trurit),të_vjella,dhimbje_koke,ndjesiendryshuar,
135,Paraliza (hemorragjia e trurit),të_vjella,dhimbje_koke,dobësitënjërësanë,
136,Paraliza (hemorragjia e trurit),të_vjella,dhimbje_koke,dobësie_një_anëssëtrupit,ndjeshmëriendryshuar
137,Paraliza (hemorragjia e trurit),dhimbje_koke,dobësitënjërësanëtëtrupit,ndjeshmëritëndryshuar,
138,Paraliza (hemorragjia e trurit),të_vjella,dobësitënjërësanëtëtrupit,ndjeshmëritëndryshuar,
139,Paraliza (hemorragjia e trurit),të_vjella,dhimbje_koke,ndjesiendryshuar,
140,Verdhëza,kruarje,të_vjella,lodhje,humbje_peshe
141,Verdhëza,kruarje,të_vjella,lodhje,humbje_peshe
142,Verdhëza,të_vjella,lodhje,humbje_peshe,temperaturëtëlartë
143,Verdhëza,kruarje,lodhje,humbje_peshe,temperaturëtëlartë
144,Verdhëza,kruarje,të_vjella,humbje_peshe,temperaturëtëlartë
145,Verdhëza,kruarje,të_vjella,lodhje,temperaturëtëlartë
146,Verdhëza,kruarje,të_vjella,lodhje,humbje_peshe
147,Verdhëza,kruarje,të_vjella,lodhje,humbje_peshe
148,Verdhëza,kruarje,të_vjella,lodhje,humbje_peshe
149,Verdhëza,kruarje,të_vjella,lodhje,humbje_peshe
150,Malaria,të_dridhura,të_vjella,temperaturëtëlartë,djersitje
151,Malaria,të_dridhura,të_vjella,temperaturëtëlartë,djersitje
152,Malaria,të_dridhura,të_vjella,temperaturëtëlartë,djersitje
153,Malaria,të_vjella,temperaturëtëlartë,djersitje,dhimbje_koke
154,Malaria,të_dridhura,temperaturëtëlartë,djersitje,dhimbje_koke
155,Malaria,të_dridhura,të_vjella,djersitje,dhimbje_koke
156,Malaria,të_dridhura,të_vjella,temperaturëtëlartë,dhimbje_koke
157,Malaria,të_dridhura,të_vjella,temperaturëtëlartë,djersitje
158,Malaria,të_dridhura,të_vjella,temperaturëtëlartë,djersitje
159,Malaria,të_dridhura,të_vjella,temperaturëtëlartë,djersitje
160,Lija e dhenve,kruarje,skuqje_lëkure,lodhje,letargji
161,Lija e dhenve,Skuqja_e_lëkurës,lodhje,letargji,temperaturëtëlartë
162,Lija e dhenve,kruarje,lodhje,letargji,temperaturë_e_lartë
163,Lija e dhenve,kruarje,Skuqja_e_lëkurës,letargji,temperaturëtëlartë
164,Lija e dhenve,kruarje,Skuqja_e_lëkurës,lodhje,temperaturëtëlartë
165,Lija e dhenve,kruarje,skuqje_lëkure,lodhje,letargji
166,Lija e dhenve,kruarje,skuqje_lëkure,lodhje,letargji
167,Lija e dhenve,kruarje,Skuqja_e_lëkurës,lodhje,letargji
168,Lija e dhenve,kruarje,skuqje_lëkure,lodhje,letargji
169,Lija e dhenve,kruarje,Skuqja_e_lëkurës,lodhje,letargji
170,Dengue,Skuqja_e_lëkurës,të_dridhura,dhimbjekyçesh,të_vjella
171,Dengue,Skuqja_e_lëkurës,të_dridhura,dhimbjekyçesh,të_vjella
172,Dengue,Skuqja_e_lëkurës,të_dridhura,dhimbjekyçesh,të_vjella
173,Dengue,Skuqja_e_lëkurës,të_dridhura,dhimbjekyçesh,të_vjella
174,Dengue,të_dridhura,dhimbjekyçesh,të_vjella,lodhje
175,Dengue,Skuqja_e_lëkurës,dhimbjekyçesh,të_vjella,lodhje
176,Dengue,Skuqja_e_lëkurës,të_dridhura,të_vjella,lodhje
177,Dengue,skuqje_lëkure,të_dridhura,dhimbje_nyjesh,lodhje
178,Dengue,Skuqja_e_lëkurës,të_dridhura,dhimbjekyçesh,të_vjella
179,Dengue,Skuqja_e_lëkurës,të_dridhura,dhimbjekyçesh,të_vjella
180,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
181,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
182,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
183,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
184,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
185,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
186,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
187,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
188,Tifoja,të_dridhura,të_vjella,lodhje,temperaturëtëlartë
189,Tifoja,të_dridhura,lodhje,temperaturëtëlartë,dhimbje_koke
190,Hepatiti A,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,urina_e_errët
191,Hepatiti A,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,urina_e_errët
192,Hepatiti A,të_vjella,lëkura_e_kuqe,urina_e_errët,nauze
193,Hepatiti A,dhimbjekyçesh,lëkura_e_kuqe,urina_e_errët,nauze
194,Hepatiti A,dhimbjekyçesh,të_vjella,urina_e_errët,nauze
195,Hepatiti A,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,nauze
196,Hepatiti A,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,urina_e_errët
197,Hepatiti A,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,urina_e_errët
198,Hepatiti A,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,urina_e_errët
199,Hepatiti A,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,urina_e_errët
200,Hepatiti B,kruarje,lodhje,letargji,lëkura_e_kuqe
201,Hepatiti B,kruarje,lodhje,letargji,lëkura_e_kuqe
202,Hepatiti B,lodhje,letargji,lekureeverdhe,urineeerret
203,Hepatiti B,kruarje,letargji,lëkura_e_kuqe,urina_e_errët
204,Hepatiti B,kruarje,lodhje,lëkura_e_kuqe,urina_e_errët
205,Hepatiti B,kruarje,lodhje,letargji,urina_e_errët
206,Hepatiti B,itplagë,lodhje,letargji,lëkuraezverdhur
207,Hepatiti B,kruarje,lodhje,letargji,lëkura_e_kuqe
208,Hepatiti B,kruarje,lodhje,letargji,lëkura_e_kuqe
209,Hepatiti B,kruarje,lodhje,letargji,lëkura_e_kuqe
210,Hepatiti C,lodhje,lëkura_e_kuqe,nauze,humbja_e_oreksit
211,Hepatiti C,lodhje,lëkura_e_kuqe,nauze,humbja_e_oreksit
212,Hepatiti C,lëkura_e_kuqe,nauze,humbja_e_oreksit,zverdhja_e_syve
213,Hepatiti C,lodhje,nauze,humbje_e_oreksi,zverdhja_e_syve
214,Hepatiti C,lodhje,lëkura_e_kuqe,humbja_e_oreksit,zverdhja_e_syve
215,Hepatiti C,lodhje,lekurenengjyreteverdhe,nauze,zverdhja_e_syve
216,Hepatiti C,lodhje,lëkura_e_kuqe,nauze,humbja_e_oreksit
217,Hepatiti C,lodhje,lëkura_e_kuqe,nauze,humbja_e_oreksit
218,Hepatiti C,lodhje,lëkura_e_kuqe,nauze,humbja_e_oreksit
219,Hepatiti C,lodhje,lëkura_e_kuqe,nauze,humbja_e_oreksit
220,Hepatiti D,dhimbjekyçesh,të_vjella,lodhje,lëkura_e_kuqe
221,Hepatiti D,të_vjella,lodhje,lëkura_e_kuqe,urina_e_errët
222,Hepatiti D,dhimbje_nyjesh,lodhje,lekureeverdhe,urineeerret
223,Hepatiti D,dhimbjekyçesh,të_vjella,lëkura_e_kuqe,urina_e_errët
224,Hepatiti D,dhimbjekyçesh,të_vjella,lodhje,urina_e_errët
225,Hepatiti D,dhimbjekyçesh,të_vjella,lodhje,lëkura_e_kuqe
226,Hepatiti D,dhimbjekyçesh,të_vjella,lodhje,lëkura_e_kuqe
227,Hepatiti D,dhimbjekyçesh,të_vjella,lodhje,lëkura_e_kuqe
228,Hepatiti D,dhimbjekyçesh,të_vjella,lodhje,lëkura_e_kuqe
229,Hepatiti D,dhimbjekyçesh,të_vjella,lodhje,lëkura_e_kuqe
230,Hepatiti E,dhimbjekyçesh,të_vjella,lodhje,temperaturë_e_lartë
231,Hepatiti E,dhimbjekyçesh,të_vjella,lodhje,temperaturë_e_lartë
232,Hepatiti E,dhimbjekyçesh,të_vjella,lodhje,temperaturë_e_lartë
233,Hepatiti E,të_vjella,lodhje,temperaturëtëlartë,lëkurëtëverdhë
234,Hepatiti E,dhimbjekyçesh,lodhje,temperaturë_e_lartë,lëkurëeverdhë
235,Hepatiti E,dhimbjekyçesh,të_vjella,temperaturëtëlartë,lëkurëtëverdhë
236,Hepatiti E,dhimbjekyçesh,të_vjella,lodhje,lëkura_e_kuqe
237,Hepatiti E,dhimbjekyçesh,të_vjella,lodhje,temperaturë_e_lartë
238,Hepatiti E,dhimbjekyçesh,të_vjella,lodhje,temperaturë_e_lartë
239,Hepatiti E,dhimbjekyçesh,të_vjella,lodhje,temperaturë_e_lartë
240,Hepatiti alkoolik,tevjella,lekureeverdhe,dhimbje_barku,ënjtja_e_stomakut
241,Hepatiti alkoolik,tevjella,lekureeverdhe,dhimbje_barku,ënjtja_e_stomakut
242,Hepatiti alkoolik,lekureeverdhe,dhimbje_barku,fryrjestomaku,distensionibarkut
243,Hepatiti alkoolik,tevjella,dhimbje_barku,ënjtjestomaku,distensionibarkut
244,Hepatiti alkoolik,tevjella,lekureeverdhe,ënjtja_e_stomakut,distensionibarkut
245,Hepatiti alkoolik,tevjella,lekureeverdhe,dhimbje_barku,distensioni_barkut
246,Hepatiti alkoolik,tevjella,lekureeverdhe,dhimbje_barku,ënjtja_e_stomakut
247,Hepatiti alkoolik,tevjella,lekureeverdhe,dhimbje_barku,ënjtja_e_stomakut
248,Hepatiti alkoolik,tevjella,lekureeverdhe,dhimbje_barku,ënjtja_e_stomakut
249,Hepatiti alkoolik,tevjella,lekureeverdhe,dhimbje_barku,ënjtja_e_stomakut
250,Tuberkulozi,të_dridhura,të_vjella,lodhje,humbje_peshe
251,Tuberkulozi,dridhje,të_vjella,lodhje,humbje_peshe
252,Tuberkulozi,të_vjella,lodhje,humbje_peshe,kollë
253,Tuberkulozi,të_dridhura,lodhje,humbje_peshe,kollë
254,Tuberkulozi,të_dridhura,të_vjella,humbje_peshe,kollë
255,Tuberkulozi,të_dridhura,të_vjella,lodhje,kollë
256,Tuberkulozi,të_dridhura,të_vjella,lodhje,humbje_peshe
257,Tuberkulozi,dridhje,të_vjella,lodhje,humbje_peshe
258,Tuberkulozi,të_dridhura,të_vjella,lodhje,humbje_peshe
259,Tuberkulozi,të_dridhura,të_vjella,lodhje,humbje_peshe
260,Ftohja e zakonshme,teshtitje_e_vazhdueshme,të_dridhura,lodhje,kollë
261,Ftohja e zakonshme,teshtitje_e_vazhdueshme,dridhje,lodhje,kollë
262,Ftohja e zakonshme,të_dridhura,lodhje,kollë,temperaturëtëlartë
263,Ftohja e zakonshme,teshtitje_e_vazhdueshme,lodhje,kollë,temperaturë_e_lartë
264,Ftohja e zakonshme,teshtitje_e_vazhdueshme,dridhje,kollë,temperaturë_e_lartë
265,Ftohja e zakonshme,teshtitje_e_vazhdueshme,të_dridhura,lodhje,temperaturëtëlartë
266,Ftohja e zakonshme,teshtitje_e_vazhdueshme,të_dridhura,lodhje,kollë
267,Ftohja e zakonshme,teshtitje_e_vazhdueshme,të_dridhura,lodhje,kollë
268,Ftohja e zakonshme,teshtitje_e_vazhdueshme,të_dridhura,lodhje,kollë
269,Ftohja e zakonshme,teshtitje_e_vazhdueshme,dridhje,lodhje,kollë
270,Pneumonia,të_dridhura,lodhje,kollë,temperaturëtëlartë
271,Pneumonia,të_dridhura,lodhje,kollë,temperaturëtëlartë
272,Pneumonia,të_dridhura,lodhje,kollë,temperaturëtëlartë
273,Pneumonia,lodhje,kollë,temperaturëtëlartë,gulçim
274,Pneumonia,të_dridhura,kollë,temperaturëtëlartë,gulçim
275,Pneumonia,të_dridhura,lodhje,temperaturëtëlartë,gulçim
276,Pneumonia,të_dridhura,lodhje,kollë,gulçim
277,Pneumonia,të_dridhura,lodhje,kollë,temperaturëtëlartë
278,Pneumonia,të_dridhura,lodhje,kollë,temperaturëtëlartë
279,Pneumonia,të_dridhura,lodhje,kollë,temperaturëtëlartë
280,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,dhimbje_në_rajonin_anal,jashtëqitjetëpërgjakshme
281,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,dhimbje_në_rajonin_anal,jashtëqitjetëpërgjakshme
282,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,dhimbje_në_rajonin_anal,jashtëqitjetëpërgjakshme
283,Hemorroidet dimorfike (grumbullat),dhimbje_gjat_lëvizjeve_zorrë,dhimbje_në_rajonin_anal,jashtëqitjetëpërgjakshme,acarim_në_anus
284,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_në_rajonin_anal,jashtëqitje_tëpërgjakshme,acarim_në_anus
285,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,jashtëqitjemegjak,acarim_në_anus
286,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,dhimbje_në_rajonin_anal,acarim_në_anus
287,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,dhimbje_në_rajonin_anal,jashtëqitjemegjak
288,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,dhimbje_në_rajonin_anal,jashtëqitjetëpërgjakshme
289,Hemorroidet dimorfike (grumbullat),kapsllëk,dhimbje_gjatë_lëvizjeve_të_zorrëve,dhimbje_në_rajonin_anal,jashtëqitjemegjak
290,Sulmi në zemër,të_vjella,gulçim,djersitje,dhimbje_gjoksi
291,Sulmi në zemër,të_vjella,gulçim,djersitje,dhimbje_gjoksi
292,Sulmi në zemër,gulçim,djersitje,dhimbje_gjoksi,
293,Sulmi në zemër,të_vjella,djersitje,dhimbje_gjoksi,
294,Sulmi në zemër,të_vjella,gulçim,dhimbje_gjoksi,
295,Sulmi në zemër,të_vjella,gulçim,djersitje,
296,Sulmi në zemër,të_vjella,gulçim,djersitje,dhimbje_gjoksi
297,Sulmi në zemër,gulçim,djersitje,dhimbje_gjoksi,
298,Sulmi në zemër,të_vjella,djersitje,dhimbje_gjoksi,
299,Sulmi në zemër,të_vjella,gulçim,dhimbje_gjoksi,
300,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,mavijosje,obezitet
301,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,mavijosje,obezitet
302,Venat me variçe,ngërçe,enë_të_fryra_të_gjakut,obezitet,këmbëtëfryra
303,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,obezitet,këmbëtëfryra
304,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,obezitet,këmbëtëfryra
305,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,mavijosje,këmbëtëfryra
306,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,mavijosje,obezitet
307,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,mavijosje,obezitet
308,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,mavijosje,obezitet
309,Venat me variçe,lodhje,enë_të_fryra_të_gjakut,mavijosje,obezitet
310,Hipotireoza,lodhje,shtim_peshe,duart_dhe_këmbët_e_ftohta,ndryshimehumori
311,Hipotireoza,lodhje,shtim_peshe,duart_dhe_këmbët_e_ftohta,ndryshimehumori
312,Hipotireoza,shtim_peshe,duart_dhe_këmbët_e_ftohta,ndryshimehumori,letargji
313,Hipotireoza,shtim_peshe,duart_dhe_këmbët_e_ftohta,ndryshimehumori,letargji
314,Hipotireoza,lodhje,duart_dhe_këmbët_e_ftohta,ndryshimehumori,letargji
315,Hipotireoza,lodhje,shtim_peshe,ndryshimehumori,letargji
316,Hipotireoza,lodhje,shtim_peshe,duart_dhe_këmbët_e_ftohta,letargji
